Название;Финансовое нарушение
1. Неправомерные расходы денежных и материальных средств;1
1.1. Социальные выплаты (расходы, связанные с оказанием соцуслуг) выплаты детям-сиротам;1
1.2. Переплаты и неположенные выплаты заработной платы (без отчислений) и иные выплаты сотрудникам ;1
1.2.1. Статья 60.2 ТК РФ Совмещение профессий (должностей);1
1.2.2. Статья 108 ТК РФ Перерывы для отдыха и питания;1
1.2.3. Статья 117 ТК РФ Ежегодный дополнительный оплачиваемый отпуск работникам, занятым на работах с вредными и (или) опасными условиями труда;1
1.2.4. Статья 121 ТК РФ Исчисление стажа работы, дающего право на ежегодные оплачиваемые отпуска;1
1.2.5. Статья 125 ТК РФ Разделение ежегодного оплачиваемого отпуска на части (14 дней), отзыв из отпуска;1
1.2.6. Статья 127 ТК РФ  Реализация права на отпуск при увольнении работника;1
1.2.7. Статья 129, 133 ТК РФ Основные понятия и определения (заработной платы). Установление МРОТ;1
1.2.8. Статья 137 ТК РФ  Ограничение удержаний из заработной платы (неотработанные дни отпуска, при увольнении);1
1.2.9. Статья 151 ТК РФ Оплата труда при совмещении профессий (должностей);1
1.2.10. Статья 152 ТК РФ Оплата сверхурочной работы;1
1.2.11. Статья 153 ТК РФ Оплата труда в выходные и нерабочие праздничные дни;1
1.2.12. Статья 154 ТК РФ Оплата труда в ночное время;1
1.2.13. Статья 173 ТК РФ Гарантии и компенсации работникам, совмещающим работу с получением высшего образования по программам бакалавриата, программам специалитета или программам магистратуры, и работникам, поступающим на обучение по указанным образовательным программам;1
1.2.14. Статья 183 ТК РФ Гарантии работнику при временной нетрудоспособности;1
1.2.15. Статья 191 ТК РФ Поощрения за труд;1
1.2.16. Статья 291 ТК РФ Оплачиваемые отпуска  (трудовой договор на срок до двух месяцев);1
1.2.17. Статья 292 ТК РФ Расторжение трудового договора;1
1.2.18. Порядок премирования руководителей приказ №19П-290 и распоряжение №19РВ-25;1
1.2.19. Постановление № 922 (порядок исчисления средней заработной платы);1
1.2.20. Постановление №507/23 (Об оплате труда работников гос. уч. соц. обсл. МО) неверно установлен оклад;1
1.2.20. Постановление №507/23 (Об оплате труда работников гос. уч. соц. обсл. МО) работающим в сельской местности установлены не верно надбавки;1
1.2.20. Постановление №507/23 (Об оплате труда работников гос. уч. соц. обсл. МО) надбавки и доплаты, в том числе доплат за напряженный труд;1
1.2.20. Постановление №507/23 (Об оплате труда работников гос. уч. соц. обсл. МО) стимулирование без приказа;1
1.2.21. Постановление №578/28 (расчет и начисление надбавок, доплат, комп. и стимул. характера к заработной плате);1
1.2.22. «Правила об очередных и дополнительных отпусках», НКТ СССР 30.04.1930 № 169;1
1.2.23. Заработная плата излишне зачислена на лицевые счета сотрудников;1
1.2.24. Нарушения по соглашениям о предоставлении субсидии;1
1.2.25. Приказ Минтруда №625н Профстандарт «Специалист в сфере закупок»;1
1.2.26. Выплаты стимулирующего характера, установленные приказами директора;1
1.2.27. Приказ министра Минсоцразвития МО «Об отзыве из отпуска»;1
1.2.28. Приказ министра Минсоцразвития МО «О возложении обязанностей»;1
1.2.29. Приказ министра Минсоцразвития МО «Об установлении размера ежемесячных выплат стимулирующего характера руководителям»;1
1.2.30. Письмо ФС по труду и занятости № 2184-6-1 (расчет среднего заработка для компенсации отпуска при увольнении);1
1.2.31. Распоряжения Минсоцразвития МО № 20РВ-173 (исчисления стажа, дающего право на надбавки);1
1.2.32. Постановление Правительства МО  №72/5 (Об оплате труда работников ЕВЦ);1
"1.2.33. Постановление Правительства № 1164-ПП «Положение об оплате труда работников, осуществляющих проффессиональную деятельность по профессиям рабочих в учреждениях, подведомственных Минсоцразвитию МО""";1
1.3. Переплата отчислений и налогов по заработной плате;1
1.4. Компенсация спецодежды и обуви социальным работникам;1
1.5. Оплата работ, услуг (в том числе по завышенным тарифам и ценам);1
1.6. Нецелевое использование денежных средств;1
1.7. Иные ;1
1.7.1. Неправомерный расход денежных средств на оплату мобильной связи ;1
1.7.2. Неправомерное расходование бюджетных средств по оплате коммунальных услуг;1
1.7.3. Хищение;1
1.7.4. Завышение данных отчета о выполнении государственного задания;1
2. Просроченная дебиторская задолженность (в том числе безнадежная к взысканию);1
3. Недополученные доходы (бюджета, учреждения);1
3.1. Предусмотренная договором неустойка за несвоевременное внесение платы за оказание услуг по вине получателя социальных услуг;1
3.2.  Нарушение распоряжения Минсоцразвития МО от 30.12.2022 №20РВ-373 (тарифы на социальные услуги);1
"4. Иные нарушения с денежными и материальными средствами																						";1
4.1. Сверхнормативное списание (перерасход)                            ;1
4.1.1. Продуктов питания;1
4.1.2. Мягкого инвентаря;1
4.1.3. Горюче-смазочных материалов;1
4.1.4. Медикаментов;1
"4.2. Недостача							";1
4.2.1. Основных средств;1
4.2.2. Денежных средств;1
4.2.3. Материальных запасов                                ;1
4.2.3.1. Продуктов питания;1
4.2.3.2. Мягкого инвентаря;1
4.2.3.3. Горюче-смазочных материалов;1
4.2.3.4. Средства (медикаменты, порошок и т. д.) с истекшим  сроком годности;1
4.2.3.5. Материальных запасов, иное;1
"5. Недоплаты																																		";1
"5.1. Заработной платы 																																	";1
5.1.1. Статья 108 ТК РФ Перерывы для отдыха и питания;1
5.1.2. Статья 121 ТК РФ Исчисление стажа работы, дающего право на ежегодные оплачиваемые отпуска ;1
5.1.3. Статья 125 ТК РФ Разделение ежегодного оплачиваемого отпуска на части (14 дней). Отзыв из отпуска;1
5.1.4. Статья 127 ТК РФ  Реализация права на отпуск при увольнении работника;1
5.1.5. Статья 129, 133 ТК РФ Основные понятия и определения (заработной платы). Установление МРОТ;1
5.1.6. Статья 137 ТК РФ Ограничение удержаний из заработной платы (неотработанные дни отпуска, при увольнении);1
5.1.7. Статья 147 ТК РФ Оплата труда работников, занятых на работах с вредными и (или) опасными условиями труда;1
5.1.8. Статья 152 ТК РФ Оплата сверхурочной работы;1
5.1.9. Статья 153 ТК РФ Оплата труда в выходные и нерабочие праздничные дни;1
5.1.10. Статья 154 ТК РФ Оплата труда в ночное время;1
5.1.11. Статья 291 ТК РФ Оплачиваемые отпуска (трудовой договор на срок до двух месяцев);1
5.1.12. Порядок премирования руководителей №19П-290 и №19РВ-25;1
5.1.13. Постановление № 922 (порядок исчисления средней заработной платы);1
5.1.14. Постановление №507/23 (Об оплате труда работников гос. уч. соц. обсл. МО) неверно установлен оклад;1
5.1.14. Постановление №507/23 (Об оплате труда работников гос. уч. соц. обсл. МО) работающим в сельской местности установлены не верно надбавки;1
5.1.14. Постановление №507/23 (Об оплате труда работников гос. уч. соц. обсл. МО) надбавки и доплаты, в том числе доплат за напряженный труд;1
5.1.15. Постановление №578/28 (надбавки, доплаты комп. и стимул. характера к заработной плате);1
5.1.16. «Правила об очередных и дополнительных отпусках», НКТ СССР 30.04.1930 № 169;1
5.1.17. Заработная плата не перечислена на лицевые счета сотрудников;1
5.1.18. Выплаты стимулирующего характера, установленные приказами директора;1
5.1.19. Письмо ФС по труду и занятости № 2184-6-1 (расчет среднего заработка для компенсации отпуска при увольнении);1
5.1.20. Постановление Минтруда №31 (тарифно-квалификационные характеристики по общеотраслевым профессиям рабочих);1
5.1.21. Приказ директора Учреждения «О повышении размера оплаты труда и установлению ежегодных дополнительных оплачиваемых отпусков по результатам СОУТ»;1
5.1.22. Приказ министра Минсоцразвития МО от 14.08.2023 № 20П-338 (об установлении групп по оплате труда руководителей государственных учреждений);1
5.1.23. Приказ министра Минсоцразвития МО Об установлении размера ежемесячных выплат стимулирующего характера руководителям;1
5.1.24. Постановление Правительства № 1164-ПП «Положение об оплате труда работников, осуществляющих проффессиональную деятельность по профессиям рабочих в учреждениях, подведомственных Минсоцразвитию МО»;1
5.1.25. Распоряжение Минсоцразвития МО от 28.06.2023 № 20РВ-173 (Порядок исчисления стажа, дающего права на получение надбавки за продолжительность работы);1
5.2. Социальных выплат (связанные с оказанием соцуслуг) выплаты детям-сиротам;1
5.3. Недоплаты отчислений и налогов по заработной плате;1
5.4. Денежная компенсация и какие-то еще недоплаты сотрудникам учреждения;1
5.5. Иное;1
"6. Неэффективное использование средств					";1
"6.1. Денежных средств		";1
6.1.1. Лицензия;1
6.1.2. Налоги, имущество;1
6.1.3. Иное (указывается вид нарушения);1
6.2. Материальных средств;1
"7. Непроизводительные расходы		";1
7.1. Оплата штрафных санкций по страховым взносам;1
7.2. Оплата пеней;1
8.1. Переплата ЦБ;1
8.1.1. ст. 108 ТК РФ Перерывы для отдыха и питания;1
8.1.2. ст. 121 ТК РФ Исчисление стажа работы, дающего право на ежегодные оплачиваемые отпуска;1
8.1.3. ст. 125 ТК РФ Разделение ежегодного оплачиваемого отпуска на части (14 дней). Отзыв из отпуска;1
8.1.4. ст. 127 ТК РФ  Реализация права на отпуск при увольнении работника;1
"8.1.5. ст. 129, 133 ТК РФ Основные понятия и определения (з/пл); Установление МРОТ";1
8.1.6. ст. 137 ТК РФ Ограничение удержаний из з/пл (неотработанные дни отпуска, при увольнении);1
8.1.7. ст. 152 ТК РФ Оплата сверхурочной работы;1
8.1.8. ст. 153 ТК РФ Оплата труда в выходные и нерабочие праздничные дни;1
8.1.9. ст. 291 ТК РФ Оплачиваемые отпуска (трудовой договор на срок до двух месяцев);1
8.1.10. Порядок премирования руководителей приказ №19П-290 и распоряжение Минсоцразвития МО №19РВ-25;1
8.1.11. Постановление ПМО № 922 (порядок исчисления средней з/пл);1
8.1.12. Постановление ПМО №507/23 (Об оплате труда работников гос. уч. соц. обсл. МО);1
8.1.13. Постановление ПМО №578/28 (надбавки, доплаты комп. и стимул. хар-ра к з/пл);1
"8.1.14. ""Правила об очеред. и доп. отпусках"", НКТ СССР 30.04.1930 № 169";1
8.1.15. Излишне зачислено на лицевые счета сотрудников;1
8.1.16. Излишне перечисленный НДФЛ;1
8.1.17. Излишне перечисленных отчислений во внебюджетные фонды (ЕНП и ФСС);1
8.1.18. По приказу директора оплачены праздничные при отсутствии табеля учета раб времени;1
8.1.19. Выплаты стимулирующего характера, установленные приказами директора;1
8.1.20. Доплата за совмещение профессии (должности);1
8.2. Недоплата ЦБ;1
8.2.1. ст. 108 ТК РФ Перерывы для отдыха и питания;1
8.2.2. ст. 121 ТК РФ Исчисление стажа работы, дающего право на ежегодные оплачиваемые отпуска;1
8.2.3. ст. 125 ТК РФ Разделение ежегодного оплачиваемого отпуска на части (14 дней). Отзыв из отпуска;1
