Название;Финансовое нарушение
1. Нарушения порядка ведения бухгалтерского учета, нарушение приказа Минфина России от 01.12.2010 № 157н (Единый план счетов);0
2. Нарушение порядка заполнения путевых листов;0
3. Поверка весов не проводилась;0
4. Расхождения в отчетах, предоставляемых в Минсоцразвития МО и федеральные службы;0
5. Нарушение приказа Минфина России от 30.03.2015 № 52н (ред. от 15.06.2020) (Формы первичных документов);0
6.1. Нарушение приказа Минфина России от 30.12.2017 № 274н (Учетная политика);0
6.2. Нарушения по Учетной политики (также не размещение на сайте Учреждения);0
"7. Нарушения учета основных средств	";0
7.1 Нарушения учета транспортных средств и оборудования;0
7.2 Нарушения учета зданий, земли, иной недвижимости;0
8.Нарушения порядка учета материальных запасов                                ;0
8.1.Нарушения порядка списания и учета ГСМ;0
8.2. Нарушения порядка учета медикаментов;0
8.3. Нарушения учета мягкого инвентаря/спецодежды;0
8.4. Нарушения учета питания ;0
8.5. Нарушение порядка учета иных материальных запасов;0
"9. Нарушения законодательства о лицензировании				";0
9.1. Мед услуги без Лицензии;0
9.2. Медосмотры без Лицензии;0
9.3. Перевозка на автотранспорте без Лицензии;0
9.4. Образовательная деятельность без Лицензии;0
9.5. Эксплуатация взрывопожароопасных и хим. опасных произв-х объектов;0
"10. Нарушения трудового законодательства			
			";0
10.1. Нарушение Постановление №507/23, которое, не привело к фин. наруш. ;0
10.2. Нарушения по табелю учета раб. времени;0
10.3. Нарушение ТК РФ ;0
10.4. Нарушения по оформлению Коллдоговора;0
"11. Нарушения порядка оказания социальных услуг													";0
"11.1. После истечения срока действия ИППСУ соц. обслуживания не прекращалось
";0
11.2. В Перечнях оказываемых социальных услуг, приложенных к Договорам, указывались услуги, не предусмотренные ИППСУ;0
11.3. В актах сдачи-приемки оказанных услуг, предоставлены услуги, не указанные в Перечнях ;0
11.4. Установлены нарушения сроков оплаты на оказание платных социальных услуг;0
11.5. Отсутствие размещения в ЕАИС СОЦ МО договоров на обслуживание и (или) актов сдачи - приемки;0
11.6. Отсутствие стоимости в договорах о предоставлении соц услуг за плату;0
11.7. Нарушение постановления 1109/49 (размер платы за соц услуги и порядок взимания);0
11.8. При сверке табелей посещаемости с данными ЕАИС СОЦ МО установлено расхождение;0
11.9. Нарушение ст. 860.1 ГК РФ получателям социальных услуг, признанным недееспособными, не открыты номинальные счета;0
11.10. Нарушен срок извещения (не позднее дня, следующего за днем расторжения договора) ТСП о прекращении социального обслуживания ;0
11.11. По истечении 30 календарных дней со дня расторжения предыдущего договора «О предоставлении социальных услуг в стационарной форме социального обслуживания» заключен новый договор;0
11.12. Перечни оказываемых соц. услуг, являющиеся прил. к договору не составлялись, не согласовывались (не подписывались) с заказчиками услуг. В перечнях оказываемых социальных услуг отсутствовали реквизиты договора о предоставлении социальных услуг;0
11.13. Разработанный перечень на дополнительные услуги Учреждения на оказание платных услуг населению, предоставление коммерческого койко-места не согласован с Министерством;0
11.14. Результаты оказания услуг актами сдачи приемки оказанных услуг  не оформлялись и в личном кабинете на «Региональном портале государственных услуг» не размещались;0
11.15. Уведомление об изменений условий оплаты не направлялось;0
11.16. Заключение договоров обслуживания при отсутствии ИППСУ;0
12. Нарушения законодательства о безопасности дорожного движения;0
"12.1. Нарушения порядка оснащения транспортных средств тахографами 
";0
"12.2. Нарушения порядка проведения ТО и МО ТС, диагностических карт
";0
"12.3. Нарушения порядка проверки ДТП
";0
"12.4. 283-ФЗ «О государственной регистрации транспортных средств в РФ и о внесении изменений в отдельные законодательные акты РФ»
";0
"12.5. Приказ Минтранса №282 (проф и квалиф требования к работникам, при осущ перевозок)
";0
13. Нарушения при исполнении госзадания (бюджетной сметы);0
14. Нарушения при исполнении контрактов (договоров) нарушения 44-ФЗ;0
15. Нарушение постановления Правительства РФ от 13.01.2014 № 19 при проведении электронного аукциона и заключении контракта на поставку топлива не указывалась формула цены;0
16. Нарушения порядка осуществления ВФК и ВФА;0
16.1. Нарушения порядка осуществления ВФА;0
16.2. Нарушения порядка осуществления ВФК;0
16.3. Внутренний контроль (ст. 19 Закона № 402-ФЗ БУ и АУ);0
17. Нарушения порядка оказания дополнительных платных услуг, осуществления предпринимательской или иной приносящей доход деятельности;0
18. Расхождение с данными, указанными в отчете по заработной плате;0
19. Неразмещение на сайте проверок и Устава;0
20. Нарушения требований СанПиН (питание);0
21. Инвентаризация;0
21.1. Нарушение приказа Минфина России от 15.04.2021 № 61н (унифицированные формы эл. док-ов бух. учета);0
21.2. Нарушение приказа Минфина России от 13.06.1995 № 49 (ред. от 08.11.2010) (Методические указания по инвентаризации);0
"21.3 Нарушение №402-ФЗ ""О бухгалтерском учете"" (инвентаризация)";0
"21.4 Нарушение приказа Минфина №34н ""Положение по ведению БУ и бух отчетности в РФ""
инвентаризация не проведена при реорганизации в форме слияния";0
22. Нарушения План ФХД;0
23. Нарушение приказа Минфина № 209н Порядок применения классификации операций сектора государственного управления (в т.ч. 82н и 85н);0
24. Иное;0
"8.4. Нефинансовые нарушения ЦБ 			";0
8.4.1. Учетная политика;0
8.4.2. Расхождение с данными, указанными в отчете по заработной плате  ;0
8.4.3. В данных, выгруженных из ПП «УРМ АС» (Криста), установлены расхождения (реестры перечисления зп и расчетных листков на выплату зп и пп);0
8.4.4. Приказа Минфина России от 29.11.2017 № 209н (ред. от 21.08.2023) «Об утверждении Порядка применения классификации операций сектора государственного управления»;0
"25. ГКУ - присоединенные учреждения									";0
25.1. Бюджетные сметы присоединенных учреждений не представлены;0
25.2. Несоответствие годовой отчетности;0
25.3. При передаче движимого/недвижимого  имущества ;0
25.4. Расхождения в отчетах, предоставляемых в Министерства и фед. службы;0
25.5. Расхождение с данными указанными в отчете «по заработной плате» ;0
"25.6. Инвентаризация имущества при реорганизации не проведена
34н";0
25.7. Сведения о кредиторской задолженности;0
25.8. № 61н (унифицированные формы эл. док-ов бух. учета);0
25.9. 209н 82н;0
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
